section	item	sample	value	source
sco_identity	Cx_pipiens vs Cx_quinquefasciatus | share_below_0.95		0.1971	results/phylo/sco_pairwise_identity.tsv
loci	sco_fastas | value		9142	results/phylo/locus_accounting.tsv
loci	trimmed_alignments_kept | value		9098	results/phylo/locus_accounting.tsv
loci	gene_trees_in_all_gene_trees | value		7646	results/phylo/locus_accounting.tsv
loci	trimmed_without_gene_tree | value		1452	results/phylo/locus_accounting.tsv
loci	trimmed_without_gene_tree_invariant | value		752	results/phylo/locus_accounting.tsv
loci	trimmed_without_gene_tree_fewer_than_4_distinct | value		1452	results/phylo/locus_accounting.tsv
loci	trimmed_invariant_total | value		752	results/phylo/locus_accounting.tsv
loci	trimmed_fewer_than_4_distinct_total | value		3070	results/phylo/locus_accounting.tsv
cafe	lambda		0.043230294344825	results/cafe/output/Gamma_results.txt
cafe	alpha		0.28518	results/cafe/output/Gamma_results.txt
cafe	neg_log_likelihood		24829.9	results/cafe/output/Gamma_results.txt
cafe	significant_families		333	results/cafe/significant_families.tsv
cafe_branches	Cx_pallens+Cx_quinquefasciatus | node_label		<6>	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens+Cx_quinquefasciatus | increase		141	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens+Cx_quinquefasciatus | decrease		0	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens+Cx_quinquefasciatus | total		141	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens+Cx_quinquefasciatus | binomial_p		7.174648137343064e-43	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens | node_label		Cx_pallens<1>	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens | increase		69	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens | decrease		1028	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens | total		1097	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens | ratio_inc_dec		0.0671	results/cafe/branch_summary.tsv
cafe_branches	Cx_pallens | binomial_p		4.93697803398183e-220	results/cafe/branch_summary.tsv
cafe_branches	Cx_quinquefasciatus | node_label		Cx_quinquefasciatus<2>	results/cafe/branch_summary.tsv
cafe_branches	Cx_quinquefasciatus | increase		587	results/cafe/branch_summary.tsv
cafe_branches	Cx_quinquefasciatus | decrease		589	results/cafe/branch_summary.tsv
cafe_branches	Cx_quinquefasciatus | total		1176	results/cafe/branch_summary.tsv
cafe_branches	Cx_quinquefasciatus | ratio_inc_dec		0.9966	results/cafe/branch_summary.tsv
cafe_branches	Cx_quinquefasciatus | binomial_p		0.976738159363163	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus+Cx_pipiens | node_label		<7>	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus+Cx_pipiens | increase		45	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus+Cx_pipiens | decrease		0	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus+Cx_pipiens | total		45	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus+Cx_pipiens | binomial_p		5.684341886080802e-14	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus | node_label		Cx_molestus<3>	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus | increase		141	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus | decrease		1129	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus | total		1270	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus | ratio_inc_dec		0.1249	results/cafe/branch_summary.tsv
cafe_branches	Cx_molestus | binomial_p		7.974674507924435e-192	results/cafe/branch_summary.tsv
cafe_branches	Cx_pipiens | node_label		Cx_pipiens<4>	results/cafe/branch_summary.tsv
cafe_branches	Cx_pipiens | increase		191	results/cafe/branch_summary.tsv
cafe_branches	Cx_pipiens | decrease		749	results/cafe/branch_summary.tsv
cafe_branches	Cx_pipiens | total		940	results/cafe/branch_summary.tsv
cafe_branches	Cx_pipiens | ratio_inc_dec		0.255	results/cafe/branch_summary.tsv
cafe_branches	Cx_pipiens | binomial_p		1.1107036271492301e-78	results/cafe/branch_summary.tsv
transfer_bias	n_families | value		13885	results/cafe/transfer_bias_summary.tsv
transfer_bias	n_significant | value		333	results/cafe/transfer_bias_summary.tsv
transfer_bias	reference | value		Cx_quinquefasciatus	results/cafe/transfer_bias_summary.tsv
transfer_bias	n_families_single_copy | value		11302	results/cafe/transfer_bias_summary.tsv
transfer_bias	n_families_multi_copy | value		1350	results/cafe/transfer_bias_summary.tsv
transfer_bias	n_families_zero_ref_copy | value		1233	results/cafe/transfer_bias_summary.tsv
transfer_bias	n_significant_single_copy | value		14	results/cafe/transfer_bias_summary.tsv
transfer_bias	n_significant_multi_copy | value		247	results/cafe/transfer_bias_summary.tsv
transfer_bias	n_significant_zero_ref_copy | value		72	results/cafe/transfer_bias_summary.tsv
transfer_bias	retention_single_copy | value		0.922	results/cafe/transfer_bias_summary.tsv
transfer_bias	retention_multi_copy | value		0.7269	results/cafe/transfer_bias_summary.tsv
transfer_bias	pct_significant_single_copy | value		0.124	results/cafe/transfer_bias_summary.tsv
transfer_bias	pct_significant_multi_copy | value		18.296	results/cafe/transfer_bias_summary.tsv
transfer_bias	pct_significant_zero_ref_copy | value		5.839	results/cafe/transfer_bias_summary.tsv
transfer_bias	odds_ratio_multi_vs_single_copy | value		180.555	results/cafe/transfer_bias_summary.tsv
transfer_bias	risk_ratio_multi_vs_single_copy | value		147.703	results/cafe/transfer_bias_summary.tsv
transfer_bias	fisher_p_two_sided | value		5.67e-228	results/cafe/transfer_bias_summary.tsv
transfer_bias	mean_deficit_significant | value		1.7356	results/cafe/transfer_bias_summary.tsv
transfer_bias	mean_deficit_not_significant | value		0.119	results/cafe/transfer_bias_summary.tsv
transfer_bias	mannwhitney_p_ref_copies_two_sided | value		< 1e-300	results/cafe/transfer_bias_summary.tsv
transfer_bias	mannwhitney_p_deficit_two_sided | value		1.86e-231	results/cafe/transfer_bias_summary.tsv
transfer_bias	per_lineage_pearson_r | value		0.9939	results/cafe/transfer_bias_summary.tsv
transfer_bias	per_lineage_p | value		0.00612	results/cafe/transfer_bias_summary.tsv
transfer_bias	n_lineages | value		4	results/cafe/transfer_bias_summary.tsv
transfer_bias	per_lineage_counts_scope | value		all families (Gamma_clade_results)	results/cafe/transfer_bias_summary.tsv
transfer_bias_bins	0 | n_families		1233	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	0 | mean_lifted_copies		0.6667	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	0 | mean_deficit		-0.6667	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	0 | n_significant		72	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	0 | pct_significant		5.839	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	1 | n_families		11302	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	1 | mean_lifted_copies		0.922	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	1 | mean_retention		0.922	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	1 | mean_deficit		0.078	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	1 | n_significant		14	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	1 | pct_significant		0.124	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	2 | n_families		906	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	2 | mean_lifted_copies		1.4919	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	2 | mean_retention		0.746	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	2 | mean_deficit		0.5081	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	2 | n_significant		118	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	2 | pct_significant		13.024	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	3-5 | n_families		381	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	3-5 | mean_lifted_copies		2.4418	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	3-5 | mean_retention		0.6986	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	3-5 | mean_deficit		1.0437	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	3-5 | n_significant		100	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	3-5 | pct_significant		26.247	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	6-10 | n_families		55	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	6-10 | mean_lifted_copies		4.4485	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	6-10 | mean_retention		0.6212	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	6-10 | mean_deficit		2.697	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	6-10 | n_significant		23	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	6-10 | pct_significant		41.818	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	11+ | n_families		8	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	11+ | mean_lifted_copies		10.5417	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	11+ | mean_retention		0.6381	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	11+ | mean_deficit		4.9583	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	11+ | n_significant		6	results/cafe/transfer_bias_by_copy_number.tsv
transfer_bias_bins	11+ | pct_significant		75.0	results/cafe/transfer_bias_by_copy_number.tsv
ani	Cx_quinquefasciatus vs Cx_pallens | ani		94.22	results/synteny/ani_pairs.tsv
ani	Cx_quinquefasciatus vs Cx_pallens | align_fraction_query		24.1600	results/synteny/ani_pairs.tsv
ani	Cx_quinquefasciatus vs Cx_pallens | align_fraction_ref		24.4600	results/synteny/ani_pairs.tsv
ani	Cx_quinquefasciatus vs Cx_molestus | ani		93.19	results/synteny/ani_pairs.tsv
ani	Cx_quinquefasciatus vs Cx_molestus | align_fraction_query		18.9300	results/synteny/ani_pairs.tsv
ani	Cx_quinquefasciatus vs Cx_molestus | align_fraction_ref		19.3800	results/synteny/ani_pairs.tsv
ani	Cx_quinquefasciatus vs Cx_pipiens | ani		92.80	results/synteny/ani_pairs.tsv
ani	Cx_quinquefasciatus vs Cx_pipiens | align_fraction_query		17.4200	results/synteny/ani_pairs.tsv
ani	Cx_quinquefasciatus vs Cx_pipiens | align_fraction_ref		18.7300	results/synteny/ani_pairs.tsv
ani	Cx_quinquefasciatus vs Cx_tarsalis | ani		NA	results/synteny/ani_pairs.tsv
ani	Cx_pallens vs Cx_molestus | ani		93.55	results/synteny/ani_pairs.tsv
ani	Cx_pallens vs Cx_molestus | align_fraction_query		20.6200	results/synteny/ani_pairs.tsv
ani	Cx_pallens vs Cx_molestus | align_fraction_ref		20.8600	results/synteny/ani_pairs.tsv
ani	Cx_pallens vs Cx_pipiens | ani		93.33	results/synteny/ani_pairs.tsv
ani	Cx_pallens vs Cx_pipiens | align_fraction_query		20.6300	results/synteny/ani_pairs.tsv
ani	Cx_pallens vs Cx_pipiens | align_fraction_ref		21.9100	results/synteny/ani_pairs.tsv
ani	Cx_pallens vs Cx_tarsalis | ani		NA	results/synteny/ani_pairs.tsv
ani	Cx_molestus vs Cx_pipiens | ani		94.35	results/synteny/ani_pairs.tsv
ani	Cx_molestus vs Cx_pipiens | align_fraction_query		27.3900	results/synteny/ani_pairs.tsv
ani	Cx_molestus vs Cx_pipiens | align_fraction_ref		28.7500	results/synteny/ani_pairs.tsv
ani	Cx_molestus vs Cx_tarsalis | ani		NA	results/synteny/ani_pairs.tsv
ani	Cx_pipiens vs Cx_tarsalis | ani		NA	results/synteny/ani_pairs.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | sample1		Cx_quinquefasciatus	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | sample2		Cx_pallens	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | n_shared_genes_chr1_3		14210	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | pct_collinear_anchors		85.38	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | n_chrom_pairs_reverse_oriented		3	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | n_inversions_intra_chr		77	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | max_inversion_size_bp		1814500	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | top_inversions		NC_051861.1:39.41-41.23Mb(47genes); NC_051863.1:100.05-101.55Mb(3genes); NC_051861.1:42.05-43.54Mb(22genes)	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | total_aligned_bp		560169870	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | mean_alignment_identity_pct		94.3256	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | mean_skani_ani_pct		94.22	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pallens | aln_identity_source		minimap2 asm20, chromosome-scale sequences	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | sample1		Cx_quinquefasciatus	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | sample2		Cx_molestus	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | n_shared_genes_chr1_3		13762	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | pct_collinear_anchors		83.81	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | n_chrom_pairs_reverse_oriented		1	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | n_inversions_intra_chr		112	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | max_inversion_size_bp		1249637	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | top_inversions		NC_051861.1:38.30-39.55Mb(31genes); NC_051863.1:132.74-133.90Mb(30genes); NC_051861.1:30.54-31.62Mb(10genes)	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | total_aligned_bp		551290753	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | mean_alignment_identity_pct		92.8797	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | mean_skani_ani_pct		93.19	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_molestus | aln_identity_source		minimap2 asm20, chromosome-scale sequences	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | sample1		Cx_quinquefasciatus	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | sample2		Cx_pipiens	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | n_shared_genes_chr1_3		15257	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | pct_collinear_anchors		88.08	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | n_chrom_pairs_reverse_oriented		2	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | n_inversions_intra_chr		49	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | max_inversion_size_bp		1421135	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | top_inversions		NC_051861.1:33.60-35.02Mb(31genes); NC_051861.1:30.54-31.62Mb(10genes); NC_051861.1:37.27-38.18Mb(22genes)	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | total_aligned_bp		542309752	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | mean_alignment_identity_pct		93.2753	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | mean_skani_ani_pct		92.8	results/synteny/synteny_summary.tsv
synteny	Cx_quinquefasciatus_vs_Cx_pipiens | aln_identity_source		minimap2 asm20, chromosome-scale sequences	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | sample1		Cx_pallens	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | sample2		Cx_molestus	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | n_shared_genes_chr1_3		12808	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | pct_collinear_anchors		83.06	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | n_chrom_pairs_reverse_oriented		2	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | n_inversions_intra_chr		129	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | max_inversion_size_bp		1624597	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | top_inversions		NC_068937.1:70.29-71.92Mb(3genes); NC_068937.1:72.94-74.25Mb(9genes); NC_068937.1:106.18-107.45Mb(21genes)	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | total_aligned_bp		549452900	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | mean_alignment_identity_pct		93.2645	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | mean_skani_ani_pct		93.55	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_molestus | aln_identity_source		minimap2 asm20, chromosome-scale sequences	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | sample1		Cx_pallens	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | sample2		Cx_pipiens	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | n_shared_genes_chr1_3		13882	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | pct_collinear_anchors		87.81	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | n_chrom_pairs_reverse_oriented		1	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | n_inversions_intra_chr		60	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | max_inversion_size_bp		1660442	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | top_inversions		NC_068937.1:106.11-107.77Mb(28genes); NC_068937.1:104.27-105.57Mb(16genes); NC_068937.1:62.25-63.42Mb(4genes)	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | total_aligned_bp		548256404	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | mean_alignment_identity_pct		93.7885	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | mean_skani_ani_pct		93.33	results/synteny/synteny_summary.tsv
synteny	Cx_pallens_vs_Cx_pipiens | aln_identity_source		minimap2 asm20, chromosome-scale sequences	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | sample1		Cx_molestus	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | sample2		Cx_pipiens	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | n_shared_genes_chr1_3		13555	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | pct_collinear_anchors		85.39	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | n_chrom_pairs_reverse_oriented		3	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | n_inversions_intra_chr		109	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | max_inversion_size_bp		1272932	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | top_inversions		CM044970.1:104.41-105.68Mb(4genes); CM044970.1:66.91-67.59Mb(15genes); CM044970.1:110.49-111.14Mb(3genes)	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | total_aligned_bp		547616164	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | mean_alignment_identity_pct		94.6599	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | mean_skani_ani_pct		94.35	results/synteny/synteny_summary.tsv
synteny	Cx_molestus_vs_Cx_pipiens | aln_identity_source		minimap2 asm20, chromosome-scale sequences	results/synteny/synteny_summary.tsv
inversion_recurrence	1 | n_inversions		3	results/synteny/inversion_recurrence.tsv
inversion_recurrence	1 | n_pairs		3	results/synteny/inversion_recurrence.tsv
inversion_recurrence	1 | chromosomes		chr2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	1 | max_span_bp		477479	results/synteny/inversion_recurrence.tsv
inversion_recurrence	1 | any_at_least_large_span		False	results/synteny/inversion_recurrence.tsv
inversion_recurrence	1 | pairs		Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	results/synteny/inversion_recurrence.tsv
inversion_recurrence	1 | members		Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:8960193-9437673;Cx_pallens_vs_Cx_molestus:NC_068938.1:214417624-214787771;Cx_pallens_vs_Cx_pipiens:NC_068938.1:214417624-214605264	results/synteny/inversion_recurrence.tsv
inversion_recurrence	2 | n_inversions		1	results/synteny/inversion_recurrence.tsv
inversion_recurrence	2 | n_pairs		1	results/synteny/inversion_recurrence.tsv
inversion_recurrence	2 | chromosomes		chr2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	2 | max_span_bp		121001	results/synteny/inversion_recurrence.tsv
inversion_recurrence	2 | any_at_least_large_span		False	results/synteny/inversion_recurrence.tsv
inversion_recurrence	2 | pairs		Cx_quinquefasciatus_vs_Cx_pallens	results/synteny/inversion_recurrence.tsv
inversion_recurrence	2 | members		Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:18311823-18432824	results/synteny/inversion_recurrence.tsv
inversion_recurrence	3 | n_inversions		2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	3 | n_pairs		2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	3 | chromosomes		chr2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	3 | max_span_bp		370096	results/synteny/inversion_recurrence.tsv
inversion_recurrence	3 | any_at_least_large_span		False	results/synteny/inversion_recurrence.tsv
inversion_recurrence	3 | pairs		Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pallens	results/synteny/inversion_recurrence.tsv
inversion_recurrence	3 | members		Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:27702505-28072601;Cx_pallens_vs_Cx_molestus:NC_068938.1:163827681-163985207	results/synteny/inversion_recurrence.tsv
inversion_recurrence	4 | n_inversions		3	results/synteny/inversion_recurrence.tsv
inversion_recurrence	4 | n_pairs		3	results/synteny/inversion_recurrence.tsv
inversion_recurrence	4 | chromosomes		chr2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	4 | max_span_bp		122974	results/synteny/inversion_recurrence.tsv
inversion_recurrence	4 | any_at_least_large_span		False	results/synteny/inversion_recurrence.tsv
inversion_recurrence	4 | pairs		Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	results/synteny/inversion_recurrence.tsv
inversion_recurrence	4 | members		Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:31418051-31541025;Cx_pallens_vs_Cx_molestus:NC_068938.1:192275597-192393700;Cx_pallens_vs_Cx_pipiens:NC_068938.1:192275597-192393700	results/synteny/inversion_recurrence.tsv
inversion_recurrence	5 | n_inversions		1	results/synteny/inversion_recurrence.tsv
inversion_recurrence	5 | n_pairs		1	results/synteny/inversion_recurrence.tsv
inversion_recurrence	5 | chromosomes		chr2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	5 | max_span_bp		165225	results/synteny/inversion_recurrence.tsv
inversion_recurrence	5 | any_at_least_large_span		False	results/synteny/inversion_recurrence.tsv
inversion_recurrence	5 | pairs		Cx_quinquefasciatus_vs_Cx_pallens	results/synteny/inversion_recurrence.tsv
inversion_recurrence	5 | members		Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:45284720-45449945	results/synteny/inversion_recurrence.tsv
inversion_recurrence	6 | n_inversions		2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	6 | n_pairs		2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	6 | chromosomes		chr2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	6 | max_span_bp		125476	results/synteny/inversion_recurrence.tsv
inversion_recurrence	6 | any_at_least_large_span		False	results/synteny/inversion_recurrence.tsv
inversion_recurrence	6 | pairs		Cx_quinquefasciatus_vs_Cx_pallens;Cx_quinquefasciatus_vs_Cx_pipiens	results/synteny/inversion_recurrence.tsv
inversion_recurrence	6 | members		Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:47622216-47741376;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:47615899-47741376	results/synteny/inversion_recurrence.tsv
inversion_recurrence	7 | n_inversions		1	results/synteny/inversion_recurrence.tsv
inversion_recurrence	7 | n_pairs		1	results/synteny/inversion_recurrence.tsv
inversion_recurrence	7 | chromosomes		chr2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	7 | max_span_bp		248678	results/synteny/inversion_recurrence.tsv
inversion_recurrence	7 | any_at_least_large_span		False	results/synteny/inversion_recurrence.tsv
inversion_recurrence	7 | pairs		Cx_quinquefasciatus_vs_Cx_pallens	results/synteny/inversion_recurrence.tsv
inversion_recurrence	7 | members		Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:52393496-52642174	results/synteny/inversion_recurrence.tsv
inversion_recurrence	8 | n_inversions		1	results/synteny/inversion_recurrence.tsv
inversion_recurrence	8 | n_pairs		1	results/synteny/inversion_recurrence.tsv
inversion_recurrence	8 | chromosomes		chr2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	8 | max_span_bp		135203	results/synteny/inversion_recurrence.tsv
inversion_recurrence	8 | any_at_least_large_span		False	results/synteny/inversion_recurrence.tsv
inversion_recurrence	8 | pairs		Cx_quinquefasciatus_vs_Cx_pallens	results/synteny/inversion_recurrence.tsv
inversion_recurrence	8 | members		Cx_quinquefasciatus_vs_Cx_pallens:NC_051862.1:55621646-55756850	results/synteny/inversion_recurrence.tsv
inversion_recurrence	9 | n_inversions		3	results/synteny/inversion_recurrence.tsv
inversion_recurrence	9 | n_pairs		3	results/synteny/inversion_recurrence.tsv
inversion_recurrence	9 | chromosomes		chr2	results/synteny/inversion_recurrence.tsv
inversion_recurrence	9 | max_span_bp		395589	results/synteny/inversion_recurrence.tsv
inversion_recurrence	9 | any_at_least_large_span		False	results/synteny/inversion_recurrence.tsv
inversion_recurrence	9 | pairs		Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pallens	results/synteny/inversion_recurrence.tsv
