cluster	n_inversions	n_pairs	chromosomes	max_span_bp	genome_in_every_pair	any_at_least_large_span	pairs	members
114	3	3	chr3	145235	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:46440459-46559769;Cx_pallens_vs_Cx_molestus:NC_068939.1:139919324-140048181;Cx_molestus_vs_Cx_pipiens:CM044970.1:154725882-154871118
115	3	3	chr3	486467	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:54106721-54447729;Cx_pallens_vs_Cx_molestus:NC_068939.1:132240694-132727161;Cx_molestus_vs_Cx_pipiens:CM044970.1:157268250-157479377
116	1	1	chr3	136825		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:68279118-68415944
117	1	1	chr3	410901		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:74088369-74499270
118	3	3	chr3	214404	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:74525999-74701493;Cx_pallens_vs_Cx_molestus:NC_068939.1:111752668-111967072;Cx_molestus_vs_Cx_pipiens:CM044970.1:127663946-127824039
119	3	3	chr3	531931	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:74711418-75200396;Cx_pallens_vs_Cx_molestus:NC_068939.1:111157679-111689610;Cx_molestus_vs_Cx_pipiens:CM044970.1:127830861-128327895
120	2	2	chr3	386646	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:75201899-75505585;Cx_molestus_vs_Cx_pipiens:CM044970.1:128342132-128728779
121	1	1	chr3	153779		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:81124858-81278638
122	1	1	chr3	318966		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:81774844-82093811
123	1	1	chr3	345952		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:86440729-86786682
124	2	2	chr3	287915	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:87066034-87280752;Cx_molestus_vs_Cx_pipiens:CM044970.1:116643605-116931520
125	1	1	chr3	183926		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:90242640-90426566
126	1	1	chr3	462128		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:91244686-91706814
127	1	1	chr3	107215		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:92032260-92139475
128	1	1	chr3	189521		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:93467424-93656946
129	1	1	chr3	108484		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:95861166-95969650
130	1	1	chr3	243785		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:96536880-96780665
131	1	1	chr3	145500		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:99640050-99785550
132	1	1	chr3	281624		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:100357239-100638863
133	1	1	chr3	763429		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:100790904-101554333
134	1	1	chr3	181846		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:101963108-102144954
135	1	1	chr3	236697		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:102249025-102485722
136	1	1	chr3	107257		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:102893169-103000427
137	3	3	chr3	314474	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:116876581-117191055;Cx_pallens_vs_Cx_molestus:NC_068939.1:89048107-89349730;Cx_molestus_vs_Cx_pipiens:CM044970.1:85149409-85399024
138	3	3	chr3	201657	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:120377030-120578688;Cx_pallens_vs_Cx_molestus:NC_068939.1:85391763-85548896;Cx_molestus_vs_Cx_pipiens:CM044970.1:81058959-81194700
139	2	2	chr3	366642	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:121080510-121414512;Cx_pallens_vs_Cx_molestus:NC_068939.1:84440090-84806732
140	1	1	chr3	154051		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:121491112-121645164
141	2	2	chr3	316571	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:123457683-123774254;Cx_pallens_vs_Cx_molestus:NC_068939.1:82145434-82274480
142	3	3	chr3	540882	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:132116980-132561044;Cx_pallens_vs_Cx_molestus:NC_068939.1:72557117-73097999;Cx_molestus_vs_Cx_pipiens:CM044970.1:68589690-68971448
143	3	3	chr3	1159595	Cx_molestus	True	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:132743247-133902842;Cx_pallens_vs_Cx_molestus:NC_068939.1:71340636-71700580;Cx_molestus_vs_Cx_pipiens:CM044970.1:67590491-67979138
144	3	3	chr3	283154	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:134024865-134173749;Cx_pallens_vs_Cx_molestus:NC_068939.1:70972949-71236327;Cx_molestus_vs_Cx_pipiens:CM044970.1:68080965-68364119
145	1	1	chr3	224709		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:134187017-134411727
146	3	3	chr3	245992	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:134527930-134717731;Cx_pallens_vs_Cx_molestus:NC_068939.1:70560638-70674716;Cx_molestus_vs_Cx_pipiens:CM044970.1:200589421-200835413
147	2	2	chr3	276932	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:134723148-135000080;Cx_pallens_vs_Cx_molestus:NC_068939.1:70300804-70552326
148	3	3	chr3	244958	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:140970175-141142175;Cx_pallens_vs_Cx_molestus:NC_068939.1:64011183-64194871;Cx_molestus_vs_Cx_pipiens:CM044970.1:60233085-60478043
149	2	2	chr3	215637	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:147898962-148114599;Cx_molestus_vs_Cx_pipiens:CM044970.1:29917916-30019942
150	2	2	chr3	185128	Cx_molestus	False	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:157873654-158058782;Cx_pallens_vs_Cx_molestus:NC_068939.1:44318453-44490755
151	1	1	chr3	367529		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:158259409-158626938
152	3	3	chr3	552452	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:158661417-158817792;Cx_pallens_vs_Cx_molestus:NC_068939.1:43614013-44117296;Cx_molestus_vs_Cx_pipiens:CM044970.1:41048048-41600501
153	3	3	chr3	226188	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:174943348-175169536;Cx_pallens_vs_Cx_molestus:NC_068939.1:26739549-26940977;Cx_molestus_vs_Cx_pipiens:CM044970.1:7949122-8156254
154	1	1	chr3	104909		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051863.1:191679013-191783922
155	3	3	chr1	425562	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:2031468-2457030;Cx_pallens_vs_Cx_molestus:NC_068937.1:136803376-137158711;Cx_molestus_vs_Cx_pipiens:CM044968.1:3431353-3610340
156	3	3	chr1	473880	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:26706769-27180649;Cx_pallens_vs_Cx_molestus:NC_068937.1:111596942-112003450;Cx_molestus_vs_Cx_pipiens:CM044968.1:27435547-27892236
157	2	2	chr1	318803	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:29402581-29686351;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:29408043-29726847
158	2	2	chr1	402370	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:29686848-29818807;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:29741701-30144072
159	2	2	chr1	653324	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:29869672-30522997;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:30168071-30522997
160	2	2	chr1	247568	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:33353290-33553133;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:33305565-33553133
161	1	1	chr1	234781		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:34151320-34386101
162	1	1	chr1	296779		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:35270599-35567379
163	1	1	chr1	472661		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:35738927-36211589
164	2	2	chr1	824758	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:36654321-37319234;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:36434912-37259671
165	2	2	chr1	913002	Cx_quinquefasciatus	False	Cx_quinquefasciatus_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:37415968-38181234;Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:37266816-38179818
166	1	1	chr1	1249637		True	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:38298646-39548283
167	1	1	chr1	206288		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:39759863-39966151
168	2	2	chr1	1240277	Cx_molestus	True	Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:50771764-51538807;Cx_pallens_vs_Cx_molestus:NC_068937.1:87132035-88372312
169	3	3	chr1	382950	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:53672431-54055381;Cx_pallens_vs_Cx_molestus:NC_068937.1:85283918-85603746;Cx_molestus_vs_Cx_pipiens:CM044968.1:55323313-55487383
170	1	1	chr1	109436		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:56685714-56795150
171	1	1	chr1	922897		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:57063062-57985959
172	1	1	chr1	204858		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:58017071-58221930
173	1	1	chr1	388787		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:58326975-58715762
174	1	1	chr1	357217		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:60400411-60757628
175	1	1	chr1	950206		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:60929287-61879494
176	1	1	chr1	204258		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:62569928-62774187
177	3	3	chr1	401635	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:77809505-78137887;Cx_pallens_vs_Cx_molestus:NC_068937.1:55738173-56074633;Cx_molestus_vs_Cx_pipiens:CM044968.1:64221640-64623275
178	1	1	chr1	134315		False	Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:87632819-87767134
179	3	3	chr1	585115	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_molestus	Cx_quinquefasciatus_vs_Cx_molestus:NC_051861.1:87782030-88181673;Cx_pallens_vs_Cx_molestus:NC_068937.1:45228232-45813347;Cx_molestus_vs_Cx_pipiens:CM044968.1:73815736-74340839
180	1	1	chr2	262808		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:61324738-61587546
181	1	1	chr2	112722		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:68829440-68942162
182	1	1	chr2	233065		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:112902473-113135538
183	1	1	chr2	112706		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:114352212-114464919
184	1	1	chr2	122240		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:114948029-115070270
185	1	1	chr2	341332		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:123037927-123379259
186	1	1	chr2	136110		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:128160984-128297094
187	1	1	chr2	276911		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:136061829-136338740
188	1	1	chr2	102079		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:138566970-138669049
189	1	1	chr2	104442		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051862.1:147442122-147546564
190	1	1	chr3	209526		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:29965238-30174765
191	1	1	chr3	138683		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:57221921-57360605
192	1	1	chr3	607405		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:89845865-90453270
193	1	1	chr3	120480		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:90685877-90806357
194	1	1	chr3	696025		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:110921308-111617333
195	1	1	chr3	190404		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:122937957-123128362
196	1	1	chr3	205104		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:128356092-128561196
197	1	1	chr3	122023		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:133902842-134024865
198	1	1	chr3	134466		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:136914755-137049221
199	1	1	chr3	193186		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:142246931-142440117
200	1	1	chr3	268052		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:145026605-145294657
201	1	1	chr3	112446		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051863.1:187696698-187809144
202	1	1	chr1	295432		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:6694872-6990304
203	1	1	chr1	438941		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:38310670-38749611
204	1	1	chr1	522302		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:38791749-39314052
205	3	3	chr1	517340	none	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:39448811-39966151;Cx_pallens_vs_Cx_molestus:NC_068937.1:101586689-101817736;Cx_molestus_vs_Cx_pipiens:CM044968.1:29698017-29911806
206	1	1	chr1	137373		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:63238851-63376224
207	1	1	chr1	409497		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:63869414-64278911
208	1	1	chr1	253505		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:64416089-64669594
209	1	1	chr1	143909		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:64921049-65064958
210	1	1	chr1	127605		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:67068374-67195979
211	1	1	chr1	176676		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:68110721-68287397
212	1	1	chr1	624648		False	Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:88394833-89019481
213	2	2	chr1	235426	Cx_pipiens	False	Cx_pallens_vs_Cx_pipiens;Cx_quinquefasciatus_vs_Cx_pipiens	Cx_quinquefasciatus_vs_Cx_pipiens:NC_051861.1:107518558-107753984;Cx_pallens_vs_Cx_pipiens:NC_068937.1:25793949-26015664
214	1	1	chr2	154568		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:24647531-24802099
215	1	1	chr2	120200		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:25952346-26072546
216	1	1	chr2	284454		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:65348501-65632955
217	1	1	chr2	149806		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:66015140-66164947
218	1	1	chr2	112551		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:68653147-68765698
219	1	1	chr2	119297		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:79915485-80034782
220	1	1	chr2	141669		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:86436918-86578587
221	1	1	chr2	126082		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:95376270-95502353
222	1	1	chr2	191091		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:107321701-107512792
223	1	1	chr2	287578		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:111138502-111426080
224	1	1	chr2	484863		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:112420321-112905184
225	1	1	chr2	423267		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:120049884-120473151
226	2	2	chr2	206851	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068938.1:121714446-121921298;Cx_pallens_vs_Cx_pipiens:NC_068938.1:121717033-121921298
227	1	1	chr2	345855		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:125967492-126313347
228	2	2	chr2	257644	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:148884607-149134278;Cx_molestus_vs_Cx_pipiens:CM044969.1:69825713-70083357
229	2	2	chr2	620012	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068938.1:156688858-157308871;Cx_pallens_vs_Cx_pipiens:NC_068938.1:157063944-157308871
230	1	1	chr2	272019		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:157351176-157623195
231	1	1	chr2	131676		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:157646346-157778022
232	1	1	chr2	490438		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:162937674-163428112
233	2	2	chr2	688254	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068938.1:163464246-163625929;Cx_pallens_vs_Cx_pipiens:NC_068938.1:162937674-163625929
234	1	1	chr2	109593		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:171919259-172028853
235	1	1	chr2	175445		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:175382245-175557690
236	1	1	chr2	127825		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:180953600-181081425
237	1	1	chr2	125118		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068938.1:186338593-186463711
238	2	2	chr2	204407	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068938.1:206780897-206985305;Cx_pallens_vs_Cx_pipiens:NC_068938.1:206780897-206985305
239	1	1	chr3	709924		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:173012-882936
240	1	1	chr3	114529		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:26400370-26514899
241	1	1	chr3	274002		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:53074195-53348198
242	1	1	chr3	176748		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:55513056-55689804
243	1	1	chr3	590198		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:56530395-57120594
244	2	2	chr3	812388	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:71711526-72523914;Cx_molestus_vs_Cx_pipiens:CM044970.1:66910216-67586163
245	1	1	chr3	104984		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:75330312-75435296
246	1	1	chr3	489032		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:93514823-94003856
